timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1572262127556,2516,https://www.vodafone.com.au/-17,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1082,422,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/tablet.svg,2516,0,2052
1572262127624,1207,https://www.vodafone.com.au/-18,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1743,419,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mbb.svg,1207,0,763
1572262128832,471,https://www.vodafone.com.au/-19,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2184,419,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/nbn.svg,471,0,0
1572262129303,685,https://www.vodafone.com.au/-20,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1392,420,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/myvf.svg,685,0,0
1572262129523,7864,https://www.vodafone.com.au/-21,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2450,431,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mobilephoneplan.svg,7864,0,7460
1572262129988,8710,https://www.vodafone.com.au/-22,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1277,420,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/simo.svg,8710,0,6197
1572262130072,4131,https://www.vodafone.com.au/-23,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1290,427,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/prepaidplan.svg,4131,0,3747
1572262133424,1825,https://www.vodafone.com.au/-24,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2334,424,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/hotoffer.svg,1825,0,1543
1572262134153,5333,https://www.vodafone.com.au/-25,200,OK,Vodafone_10UserGroup 1-2,text,true,,8585,429,10,10,https://www.vodafone.com.au/images/0467_NetworkPage_BarDesktop-copy-besteverv2.png,5325,0,5195
1572262134203,3571,https://www.vodafone.com.au/-26,200,OK,Vodafone_10UserGroup 1-2,text,true,,155095,430,10,10,https://www.vodafone.com.au/images/mobile/0467_NetworkPage_BarMobile-besteverv2.png,3008,0,1315
1572262134777,687,https://www.vodafone.com.au/-27,200,OK,Vodafone_10UserGroup 1-2,bin,true,,3562,424,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-1948/images/Delivery.svg,687,0,539
1572262135250,4049,https://www.vodafone.com.au/-28,200,OK,Vodafone_10UserGroup 1-2,bin,true,,3054,431,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-1948/images/NextDayDelivery.svg,4049,0,3528
1572262135464,111,https://www.vodafone.com.au/-29,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2055,718,10,10,https://www.vodafone.com.au/sites/Satellite;jsessionid=NSAP3b9zGN8ARIRSs1xJVMDmREQ6LM5MqL7KnCTMRsQmQcvkh1Qp!-894617211!NONE?blobcol=urldata&blobheadername1=Content-Type&blobheadername2=Cache-Control&blobheadername3=Content-Disposition&blobheadervalue2=no-cache&blobheadervalue3=inline&blobkey=id&blobnocache=true&blobtable=MungoBlobs&blobwhere=1448489159745&ssbinary=true,111,0,0
1572262135575,822,https://www.vodafone.com.au/-30,200,OK,Vodafone_10UserGroup 1-2,text,true,,4452,410,10,10,https://www.vodafone.com.au/images/v_broadband-letitberight.png,799,0,0
1572262136397,222,https://www.vodafone.com.au/-31,200,OK,Vodafone_10UserGroup 1-2,text,true,,3710,397,10,10,https://www.vodafone.com.au/images/v_nbn-modem.png,207,0,0
1572262136619,181,https://www.vodafone.com.au/-32,200,OK,Vodafone_10UserGroup 1-2,text,true,,2886,398,10,10,https://www.vodafone.com.au/images/v_device-sim.png,181,0,0
1572262136800,2532,https://www.vodafone.com.au/-33,200,OK,Vodafone_10UserGroup 1-2,text,true,,279905,416,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.js,1936,0,1784
1572262137387,542,https://www.vodafone.com.au/-34,200,OK,Vodafone_10UserGroup 1-2,text,true,,3052,419,10,10,https://www.vodafone.com.au/sites/static/js/libraries/ngReact-vha.min.js,539,0,433
1572262137774,474,https://www.vodafone.com.au/-35,200,OK,Vodafone_10UserGroup 1-2,text,true,,4690,393,10,10,https://www.vodafone.com.au/analytics/js/an.js,474,0,322
1572262137929,918,https://www.vodafone.com.au/-36,200,OK,Vodafone_10UserGroup 1-2,text,true,,131752,410,10,10,https://customer.cludo.com/scripts/bundles/search-script.min.js,422,0,245
1572262118994,20492,https://www.vodafone.com.au/,200,OK,Vodafone_10UserGroup 1-2,text,true,,3473779,15673,10,10,https://www.vodafone.com.au/,396,0,348
1572262118994,799,https://www.vodafone.com.au/-0,200,OK,Vodafone_10UserGroup 1-2,text,true,,192303,375,10,10,https://www.vodafone.com.au/,396,0,348
1572262119796,13627,https://www.vodafone.com.au/-1,200,OK,Vodafone_10UserGroup 1-2,text,true,,667285,405,10,10,https://www.vodafone.com.au/sites/static/seed/seed.min.css,656,0,0
1572262119796,2585,https://www.vodafone.com.au/-2,200,OK,Vodafone_10UserGroup 1-2,text,true,,256013,417,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.css,1237,0,637
1572262119799,1437,https://www.vodafone.com.au/-3,200,OK,Vodafone_10UserGroup 1-2,text,true,,62655,407,10,10,https://customer.cludo.com/css/269/1761/cludo-search.min.css,913,0,677
1572262119799,2586,https://www.vodafone.com.au/-4,200,OK,Vodafone_10UserGroup 1-2,bin,true,,303640,403,10,10,https://www.vodafone.com.au/cs/static/mm/img/favicon.ico,1313,0,711
1572262119799,1883,https://www.vodafone.com.au/-5,200,OK,Vodafone_10UserGroup 1-2,text,true,,48564,402,10,10,https://auth.myvodafone.com.au/resources/js/embedded.js,1476,0,1218
1572262119799,2052,https://www.vodafone.com.au/-6,200,OK,Vodafone_10UserGroup 1-2,text,true,,5714,403,10,10,https://www.vodafone.com.au/sites/static/js/aaa_login.js,2052,0,702
1572262121238,3465,https://www.vodafone.com.au/-7,200,OK,Vodafone_10UserGroup 1-2,text,true,,94200,420,10,10,https://www.vodafone.com.au/sites/static/js/libraries/jquery-1.8.3.min.js,2519,0,1498
1572262121683,2380,https://www.vodafone.com.au/-8,200,OK,Vodafone_10UserGroup 1-2,text,true,,80985,423,10,10,https://www.vodafone.com.au/images/0709_GooglePixel4_BannerDesktoplaunch.jpg,1972,0,1591
1572262121851,2805,https://www.vodafone.com.au/-9,200,OK,Vodafone_10UserGroup 1-2,text,true,,47156,424,10,10,https://www.vodafone.com.au/images/mobile/0709_Google-Pixel4_BannerMobile.jpg,2058,0,1787
1572262122382,2866,https://www.vodafone.com.au/-10,200,OK,Vodafone_10UserGroup 1-2,text,true,,77115,416,10,10,https://www.vodafone.com.au/images/0699_iPhone11Pro_BannerDesktop.jpg,1756,0,841
1572262122386,2717,https://www.vodafone.com.au/-11,200,OK,Vodafone_10UserGroup 1-2,text,true,,43227,422,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11Pro_BannerMobile.jpg,2522,0,2204
1572262124063,3493,https://www.vodafone.com.au/-12,200,OK,Vodafone_10UserGroup 1-2,text,true,,99710,413,10,10,https://www.vodafone.com.au/images/0699_iPhone11_BannerDesktop.jpg,2281,0,1619
1572262124656,9496,https://www.vodafone.com.au/-13,200,OK,Vodafone_10UserGroup 1-2,text,true,,57599,419,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11_BannerMobile.jpg,9247,0,8396
1572262124704,4819,https://www.vodafone.com.au/-14,200,OK,Vodafone_10UserGroup 1-2,text,true,,679679,417,10,10,https://www.vodafone.com.au/images/0700_ATR-Prepaid_Banner-Desktop.jpg,2728,0,2404
1572262125103,2521,https://www.vodafone.com.au/-15,200,OK,Vodafone_10UserGroup 1-2,text,true,,140307,423,10,10,https://www.vodafone.com.au/images/mobile/0700_ATR-Prepaid_Banner-Mobile.jpg,2445,0,807
1572262125249,9528,https://www.vodafone.com.au/-16,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1077,427,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mobilephone.svg,9528,0,4091
1572262127556,2516,https://www.vodafone.com.au/-17,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1082,422,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/tablet.svg,2516,0,2052
1572262127624,1207,https://www.vodafone.com.au/-18,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1743,419,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mbb.svg,1207,0,763
1572262128832,471,https://www.vodafone.com.au/-19,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2184,419,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/nbn.svg,471,0,0
1572262129303,685,https://www.vodafone.com.au/-20,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1392,420,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/myvf.svg,685,0,0
1572262129523,7864,https://www.vodafone.com.au/-21,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2450,431,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mobilephoneplan.svg,7864,0,7460
1572262129988,8710,https://www.vodafone.com.au/-22,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1277,420,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/simo.svg,8710,0,6197
1572262130072,4131,https://www.vodafone.com.au/-23,200,OK,Vodafone_10UserGroup 1-2,bin,true,,1290,427,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/prepaidplan.svg,4131,0,3747
1572262133424,1825,https://www.vodafone.com.au/-24,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2334,424,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/hotoffer.svg,1825,0,1543
1572262134153,5333,https://www.vodafone.com.au/-25,200,OK,Vodafone_10UserGroup 1-2,text,true,,8585,429,10,10,https://www.vodafone.com.au/images/0467_NetworkPage_BarDesktop-copy-besteverv2.png,5325,0,5195
1572262134203,3571,https://www.vodafone.com.au/-26,200,OK,Vodafone_10UserGroup 1-2,text,true,,155095,430,10,10,https://www.vodafone.com.au/images/mobile/0467_NetworkPage_BarMobile-besteverv2.png,3008,0,1315
1572262134777,687,https://www.vodafone.com.au/-27,200,OK,Vodafone_10UserGroup 1-2,bin,true,,3562,424,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-1948/images/Delivery.svg,687,0,539
1572262135250,4049,https://www.vodafone.com.au/-28,200,OK,Vodafone_10UserGroup 1-2,bin,true,,3054,431,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-1948/images/NextDayDelivery.svg,4049,0,3528
1572262135464,111,https://www.vodafone.com.au/-29,200,OK,Vodafone_10UserGroup 1-2,bin,true,,2055,718,10,10,https://www.vodafone.com.au/sites/Satellite;jsessionid=NSAP3b9zGN8ARIRSs1xJVMDmREQ6LM5MqL7KnCTMRsQmQcvkh1Qp!-894617211!NONE?blobcol=urldata&blobheadername1=Content-Type&blobheadername2=Cache-Control&blobheadername3=Content-Disposition&blobheadervalue2=no-cache&blobheadervalue3=inline&blobkey=id&blobnocache=true&blobtable=MungoBlobs&blobwhere=1448489159745&ssbinary=true,111,0,0
1572262135575,822,https://www.vodafone.com.au/-30,200,OK,Vodafone_10UserGroup 1-2,text,true,,4452,410,10,10,https://www.vodafone.com.au/images/v_broadband-letitberight.png,799,0,0
1572262136397,222,https://www.vodafone.com.au/-31,200,OK,Vodafone_10UserGroup 1-2,text,true,,3710,397,10,10,https://www.vodafone.com.au/images/v_nbn-modem.png,207,0,0
1572262136619,181,https://www.vodafone.com.au/-32,200,OK,Vodafone_10UserGroup 1-2,text,true,,2886,398,10,10,https://www.vodafone.com.au/images/v_device-sim.png,181,0,0
1572262136800,2532,https://www.vodafone.com.au/-33,200,OK,Vodafone_10UserGroup 1-2,text,true,,279905,416,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.js,1936,0,1784
1572262137387,542,https://www.vodafone.com.au/-34,200,OK,Vodafone_10UserGroup 1-2,text,true,,3052,419,10,10,https://www.vodafone.com.au/sites/static/js/libraries/ngReact-vha.min.js,539,0,433
1572262137774,474,https://www.vodafone.com.au/-35,200,OK,Vodafone_10UserGroup 1-2,text,true,,4690,393,10,10,https://www.vodafone.com.au/analytics/js/an.js,474,0,322
1572262137929,918,https://www.vodafone.com.au/-36,200,OK,Vodafone_10UserGroup 1-2,text,true,,131752,410,10,10,https://customer.cludo.com/scripts/bundles/search-script.min.js,422,0,245
1572262118994,20492,HomePageLauch,200,"Number of samples in transaction : 1, number of failing samples : 0",Vodafone_10UserGroup 1-2,,true,,3473779,15673,10,10,null,396,1,348
1572262118994,20492,HomePageLauch,200,"Number of samples in transaction : 1, number of failing samples : 0",Vodafone_10UserGroup 1-2,,true,,3473779,15673,10,10,null,396,1,348
1572262119693,19860,https://www.vodafone.com.au/,200,OK,Vodafone_10UserGroup 1-9,text,true,,3473770,15673,10,10,https://www.vodafone.com.au/,1256,0,918
1572262119693,3220,https://www.vodafone.com.au/-0,200,OK,Vodafone_10UserGroup 1-9,text,true,,192295,375,10,10,https://www.vodafone.com.au/,1256,0,918
1572262122918,7925,https://www.vodafone.com.au/-1,200,OK,Vodafone_10UserGroup 1-9,text,true,,667274,405,10,10,https://www.vodafone.com.au/sites/static/seed/seed.min.css,5051,0,3857
1572262122919,9097,https://www.vodafone.com.au/-2,200,OK,Vodafone_10UserGroup 1-9,text,true,,256013,417,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.css,7629,0,6651
1572262122920,2153,https://www.vodafone.com.au/-3,200,OK,Vodafone_10UserGroup 1-9,text,true,,62655,407,10,10,https://customer.cludo.com/css/269/1761/cludo-search.min.css,2073,0,1829
1572262122920,4617,https://www.vodafone.com.au/-4,200,OK,Vodafone_10UserGroup 1-9,bin,true,,303640,403,10,10,https://www.vodafone.com.au/cs/static/mm/img/favicon.ico,2706,0,2100
1572262122920,2119,https://www.vodafone.com.au/-5,200,OK,Vodafone_10UserGroup 1-9,text,true,,48564,402,10,10,https://auth.myvodafone.com.au/resources/js/embedded.js,2058,0,1457
1572262122920,2495,https://www.vodafone.com.au/-6,200,OK,Vodafone_10UserGroup 1-9,text,true,,5714,403,10,10,https://www.vodafone.com.au/sites/static/js/aaa_login.js,2495,0,1691
1572262125040,3434,https://www.vodafone.com.au/-7,200,OK,Vodafone_10UserGroup 1-9,text,true,,94200,420,10,10,https://www.vodafone.com.au/sites/static/js/libraries/jquery-1.8.3.min.js,2522,0,1637
1572262125074,6854,https://www.vodafone.com.au/-8,200,OK,Vodafone_10UserGroup 1-9,text,true,,80985,423,10,10,https://www.vodafone.com.au/images/0709_GooglePixel4_BannerDesktoplaunch.jpg,6794,0,4445
1572262125416,1477,https://www.vodafone.com.au/-9,200,OK,Vodafone_10UserGroup 1-9,text,true,,47164,424,10,10,https://www.vodafone.com.au/images/mobile/0709_Google-Pixel4_BannerMobile.jpg,1119,0,785
1572262126893,659,https://www.vodafone.com.au/-10,200,OK,Vodafone_10UserGroup 1-9,text,true,,77115,416,10,10,https://www.vodafone.com.au/images/0699_iPhone11Pro_BannerDesktop.jpg,563,0,0
1572262127537,11684,https://www.vodafone.com.au/-11,200,OK,Vodafone_10UserGroup 1-9,text,true,,43235,422,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11Pro_BannerMobile.jpg,11614,0,11246
1572262127553,6267,https://www.vodafone.com.au/-12,200,OK,Vodafone_10UserGroup 1-9,text,true,,99718,413,10,10,https://www.vodafone.com.au/images/0699_iPhone11_BannerDesktop.jpg,3085,0,2228
1572262128474,3344,https://www.vodafone.com.au/-13,200,OK,Vodafone_10UserGroup 1-9,text,true,,57591,419,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11_BannerMobile.jpg,3343,0,2388
1572262130845,4285,https://www.vodafone.com.au/-14,200,OK,Vodafone_10UserGroup 1-9,text,true,,679687,417,10,10,https://www.vodafone.com.au/images/0700_ATR-Prepaid_Banner-Desktop.jpg,1960,0,1614
1572262131819,3365,https://www.vodafone.com.au/-15,200,OK,Vodafone_10UserGroup 1-9,text,true,,140307,423,10,10,https://www.vodafone.com.au/images/mobile/0700_ATR-Prepaid_Banner-Mobile.jpg,3023,0,2417
1572262131928,4765,https://www.vodafone.com.au/-16,200,OK,Vodafone_10UserGroup 1-9,bin,true,,1077,427,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mobilephone.svg,4765,0,4394
1572262132017,1736,https://www.vodafone.com.au/-17,200,OK,Vodafone_10UserGroup 1-9,bin,true,,1082,422,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/tablet.svg,1736,0,1180
1572262133753,1203,https://www.vodafone.com.au/-18,200,OK,Vodafone_10UserGroup 1-9,bin,true,,1743,419,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mbb.svg,1203,0,0
1572262133820,993,https://www.vodafone.com.au/-19,200,OK,Vodafone_10UserGroup 1-9,bin,true,,2184,419,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/nbn.svg,993,0,579
1572262134813,732,https://www.vodafone.com.au/-20,200,OK,Vodafone_10UserGroup 1-9,bin,true,,1385,420,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/myvf.svg,732,0,0
1572262134957,2177,https://www.vodafone.com.au/-21,200,OK,Vodafone_10UserGroup 1-9,bin,true,,2443,431,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/mobilephoneplan.svg,2177,0,1295
1572262135130,1473,https://www.vodafone.com.au/-22,200,OK,Vodafone_10UserGroup 1-9,bin,true,,1270,420,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/simo.svg,1472,0,827
1572262135184,645,https://www.vodafone.com.au/-23,200,OK,Vodafone_10UserGroup 1-9,bin,true,,1290,427,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/prepaidplan.svg,645,0,297
1572262135545,1647,https://www.vodafone.com.au/-24,200,OK,Vodafone_10UserGroup 1-9,bin,true,,2341,424,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-3997/images/hotoffer.svg,1646,0,0
1572262135829,844,https://www.vodafone.com.au/-25,200,OK,Vodafone_10UserGroup 1-9,text,true,,8585,429,10,10,https://www.vodafone.com.au/images/0467_NetworkPage_BarDesktop-copy-besteverv2.png,840,0,0
1572262136603,817,https://www.vodafone.com.au/-26,200,OK,Vodafone_10UserGroup 1-9,text,true,,155095,430,10,10,https://www.vodafone.com.au/images/mobile/0467_NetworkPage_BarMobile-besteverv2.png,201,0,0
1572262136673,1791,https://www.vodafone.com.au/-27,200,OK,Vodafone_10UserGroup 1-9,bin,true,,3569,424,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-1948/images/Delivery.svg,1791,0,0
1572262136693,2600,https://www.vodafone.com.au/-28,200,OK,Vodafone_10UserGroup 1-9,bin,true,,3047,431,10,10,https://www.vodafone.com.au/content/crowd/agents/DCP-1948/images/NextDayDelivery.svg,2600,0,2411
1572262137135,730,https://www.vodafone.com.au/-29,200,OK,Vodafone_10UserGroup 1-9,bin,true,,2055,718,10,10,https://www.vodafone.com.au/sites/Satellite;jsessionid=NSAP3b9zGN8ARIRSs1xJVMDmREQ6LM5MqL7KnCTMRsQmQcvkh1Qp!-894617211!NONE?blobcol=urldata&blobheadername1=Content-Type&blobheadername2=Cache-Control&blobheadername3=Content-Disposition&blobheadervalue2=no-cache&blobheadervalue3=inline&blobkey=id&blobnocache=true&blobtable=MungoBlobs&blobwhere=1448489159745&ssbinary=true,730,0,620
1572262137192,1299,https://www.vodafone.com.au/-30,200,OK,Vodafone_10UserGroup 1-9,text,true,,4452,410,10,10,https://www.vodafone.com.au/images/v_broadband-letitberight.png,1299,0,585
1572262137420,552,https://www.vodafone.com.au/-31,200,OK,Vodafone_10UserGroup 1-9,text,true,,3710,397,10,10,https://www.vodafone.com.au/images/v_nbn-modem.png,552,0,455
1572262137865,94,https://www.vodafone.com.au/-32,200,OK,Vodafone_10UserGroup 1-9,text,true,,2886,398,10,10,https://www.vodafone.com.au/images/v_device-sim.png,94,0,0
1572262137959,1134,https://www.vodafone.com.au/-33,200,OK,Vodafone_10UserGroup 1-9,text,true,,279905,416,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.js,212,0,0
1572262137972,199,https://www.vodafone.com.au/-34,200,OK,Vodafone_10UserGroup 1-9,text,true,,3052,419,10,10,https://www.vodafone.com.au/sites/static/js/libraries/ngReact-vha.min.js,199,0,0
1572262138171,173,https://www.vodafone.com.au/-35,200,OK,Vodafone_10UserGroup 1-9,text,true,,4690,393,10,10,https://www.vodafone.com.au/analytics/js/an.js,173,0,0
1572262138344,1209,https://www.vodafone.com.au/-36,200,OK,Vodafone_10UserGroup 1-9,text,true,,131752,410,10,10,https://customer.cludo.com/scripts/bundles/search-script.min.js,1107,0,479
1572262119693,19860,https://www.vodafone.com.au/,200,OK,Vodafone_10UserGroup 1-9,text,true,,3473770,15673,10,10,https://www.vodafone.com.au/,1256,0,918
1572262119693,3220,https://www.vodafone.com.au/-0,200,OK,Vodafone_10UserGroup 1-9,text,true,,192295,375,10,10,https://www.vodafone.com.au/,1256,0,918
1572262122918,7925,https://www.vodafone.com.au/-1,200,OK,Vodafone_10UserGroup 1-9,text,true,,667274,405,10,10,https://www.vodafone.com.au/sites/static/seed/seed.min.css,5051,0,3857
1572262122919,9097,https://www.vodafone.com.au/-2,200,OK,Vodafone_10UserGroup 1-9,text,true,,256013,417,10,10,https://www.vodafone.com.au/sites/static/simplicity/simplicity.min.css,7629,0,6651
1572262122920,2153,https://www.vodafone.com.au/-3,200,OK,Vodafone_10UserGroup 1-9,text,true,,62655,407,10,10,https://customer.cludo.com/css/269/1761/cludo-search.min.css,2073,0,1829
1572262122920,4617,https://www.vodafone.com.au/-4,200,OK,Vodafone_10UserGroup 1-9,bin,true,,303640,403,10,10,https://www.vodafone.com.au/cs/static/mm/img/favicon.ico,2706,0,2100
1572262122920,2119,https://www.vodafone.com.au/-5,200,OK,Vodafone_10UserGroup 1-9,text,true,,48564,402,10,10,https://auth.myvodafone.com.au/resources/js/embedded.js,2058,0,1457
1572262122920,2495,https://www.vodafone.com.au/-6,200,OK,Vodafone_10UserGroup 1-9,text,true,,5714,403,10,10,https://www.vodafone.com.au/sites/static/js/aaa_login.js,2495,0,1691
1572262125040,3434,https://www.vodafone.com.au/-7,200,OK,Vodafone_10UserGroup 1-9,text,true,,94200,420,10,10,https://www.vodafone.com.au/sites/static/js/libraries/jquery-1.8.3.min.js,2522,0,1637
1572262125074,6854,https://www.vodafone.com.au/-8,200,OK,Vodafone_10UserGroup 1-9,text,true,,80985,423,10,10,https://www.vodafone.com.au/images/0709_GooglePixel4_BannerDesktoplaunch.jpg,6794,0,4445
1572262125416,1477,https://www.vodafone.com.au/-9,200,OK,Vodafone_10UserGroup 1-9,text,true,,47164,424,10,10,https://www.vodafone.com.au/images/mobile/0709_Google-Pixel4_BannerMobile.jpg,1119,0,785
1572262126893,659,https://www.vodafone.com.au/-10,200,OK,Vodafone_10UserGroup 1-9,text,true,,77115,416,10,10,https://www.vodafone.com.au/images/0699_iPhone11Pro_BannerDesktop.jpg,563,0,0
1572262127537,11684,https://www.vodafone.com.au/-11,200,OK,Vodafone_10UserGroup 1-9,text,true,,43235,422,10,10,https://www.vodafone.com.au/images/mobile/0699_iPhone11Pro_BannerMobile.jpg,11614,0,11246
1572262127553,6267,https://www.vodafone.com.au/-12,200,OK,Vodafone_10UserGroup 1-9,text,true,,99718,413,10,10,https://www.vodafone.com.au/images/0699_iPhone11_BannerDesktop.jpg,3085,0,2228
